dataset,filename,resize_percent,PSNR,SSIM,BRISQUE,NIQE
dataset2,uieb_543_img_.png,25,27.81259919968552,0.8171901947428272,,55.45251471904225
dataset2,uieb_543_img_.png,50,27.7915125618711,0.8095505347751818,,55.488010661472885
dataset2,uieb_543_img_.png,75,27.798245934891813,0.8073438940940634,,55.41323746173659
dataset2,uieb_543_img_.png,100,27.80366220094987,0.8070987877741779,,54.9576669882958
dataset2,uieb_563_img_.png,25,28.04004808173762,0.6966029264675212,,87.41044658150398
dataset2,uieb_563_img_.png,50,28.098549725999366,0.7541198874980668,,87.38622081435116
dataset2,uieb_563_img_.png,75,28.085373422315307,0.7906962031978333,,87.33668100881653
dataset2,uieb_563_img_.png,100,28.0857664570455,0.8123006017820595,,87.22558300345102
dataset2,uieb_564_img_.png,25,28.160488480606475,0.786105987388711,,87.39195930130066
dataset2,uieb_564_img_.png,50,28.14988255316834,0.8441758789639185,,87.40706381246032
dataset2,uieb_564_img_.png,75,28.154354989675333,0.8695796205805784,,87.35768958372184
dataset2,uieb_564_img_.png,100,28.151292133627503,0.881250897703781,,87.25755322153655
dataset2,uieb_56_img_.png,25,27.927654852168878,0.8545483419460718,,87.00503324054253
dataset2,uieb_56_img_.png,50,27.932819447032955,0.8602276692346505,,87.07079422913708
dataset2,uieb_56_img_.png,75,27.93613819820022,0.862303682479967,,87.14427236669192
dataset2,uieb_56_img_.png,100,27.93540796884361,0.8605151771682047,,86.70917567780725
dataset2,uieb_581_img_.png,25,27.830215098367237,0.8324320343653486,,33.21530572734072
dataset2,uieb_581_img_.png,50,27.850786363601053,0.8564577879421073,,33.23337455354405
dataset2,uieb_581_img_.png,75,27.84517469435857,0.8739373624968793,,33.197698201854685
dataset2,uieb_581_img_.png,100,27.854312969248312,0.8827698817232535,,33.065593152564524
dataset2,uieb_586_img_.png,25,27.614288473886603,0.4854358991043546,,123.04178216247416
dataset2,uieb_586_img_.png,50,27.610992430278493,0.4906998462060014,,122.99945459117755
dataset2,uieb_586_img_.png,75,27.61145406971785,0.4971624875386568,,122.94964135040303
dataset2,uieb_586_img_.png,100,27.633519010757325,0.5000221579628144,,122.61934771677556
dataset2,uieb_596_img_.png,25,27.737078101714765,0.6440030979015097,,41.66678944514385
dataset2,uieb_596_img_.png,50,27.735488705393774,0.6418021394164926,,41.62648225066779
dataset2,uieb_596_img_.png,75,27.73440538200552,0.6455087523358567,,41.546295517876246
dataset2,uieb_596_img_.png,100,27.924154802780432,0.6470972866869257,,41.35408402292421
dataset2,uieb_597_img_.png,25,27.826327578997983,0.7800032194976456,,31.82365664256409
dataset2,uieb_597_img_.png,50,27.82572824424795,0.7753710900423004,,31.749401427360645
dataset2,uieb_597_img_.png,75,27.81986023950145,0.7767551992357498,,31.711593803760017
dataset2,uieb_597_img_.png,100,27.796751285249854,0.7775163964058077,,31.688222251860566
dataset2,uieb_606_img_.png,25,28.066679981789598,0.7641423640360466,,48.086829762982255
dataset2,uieb_606_img_.png,50,28.085816907737108,0.7730195976969013,,48.064218929066776
dataset2,uieb_606_img_.png,75,28.07178425852742,0.7815811548758475,,47.964627630347834
dataset2,uieb_606_img_.png,100,28.069378527566798,0.7850603258144895,,47.541647930932484
dataset2,uieb_607_img_.png,25,28.210625968848625,0.7499304007373057,,45.23617534482034
dataset2,uieb_607_img_.png,50,28.197208127093578,0.7740945217500991,,45.23135497705272
dataset2,uieb_607_img_.png,75,28.19088652143867,0.7952896875143669,,45.20684399167753
dataset2,uieb_607_img_.png,100,28.199955567405205,0.8029132144513582,,45.061526563700234
dataset2,uieb_608_img_.png,25,27.828786056668807,0.42459618403333677,,56.0692811701487
dataset2,uieb_608_img_.png,50,27.834960756741104,0.4510354284099056,,56.060985510649495
dataset2,uieb_608_img_.png,75,27.825333729589325,0.47280129185630076,,56.055298731721834
dataset2,uieb_608_img_.png,100,27.838937389944313,0.48590917693238844,,56.03990591075536
dataset2,uieb_614_img_.png,25,27.969163970779327,0.8030496744345548,,44.113420339489124
dataset2,uieb_614_img_.png,50,27.974174235481108,0.8141043111165027,,44.22347001314165
dataset2,uieb_614_img_.png,75,27.96065185338143,0.8208211210270944,,43.931759506806586
dataset2,uieb_614_img_.png,100,27.95543494689737,0.8247683895676443,,43.82550537913819
dataset2,uieb_618_img_.png,25,27.794530253178014,0.7280022883670996,,33.82548614018472
dataset2,uieb_618_img_.png,50,27.81040194309883,0.7265610699498906,,33.72578961856033
dataset2,uieb_618_img_.png,75,27.799111775749523,0.7294726798888556,,33.68465502958138
dataset2,uieb_618_img_.png,100,27.80050422682635,0.7317089485365563,,33.602083775225495
dataset2,uieb_626_img_.png,25,27.88451590923049,0.6715302486315913,,33.59958805041808
dataset2,uieb_626_img_.png,50,27.888625503676856,0.6545112885730991,,33.528304821674936
dataset2,uieb_626_img_.png,75,27.89440289790233,0.6548488312736845,,33.47679383239368
dataset2,uieb_626_img_.png,100,27.889601322290687,0.6565748136737775,,33.408685891515
dataset2,uieb_630_img_.png,25,27.905528391125806,0.7566404512344854,,30.09115430058923
dataset2,uieb_630_img_.png,50,27.921179672157827,0.7559800687458885,,30.089330491173598
dataset2,uieb_630_img_.png,75,27.923455321688117,0.7584157553145549,,30.04066931574816
dataset2,uieb_630_img_.png,100,27.91336328143376,0.7600751952062493,,29.97342565057989
dataset2,uieb_631_img_.png,25,27.89223677951856,0.8390207602639692,,29.57278470367821
dataset2,uieb_631_img_.png,50,27.893966496803802,0.8304275296211161,,29.486081918668447
dataset2,uieb_631_img_.png,75,27.881868461163833,0.8277133008524714,,29.36315750540028
dataset2,uieb_631_img_.png,100,27.890238395719035,0.8260985404230861,,28.42114688147751
dataset2,uieb_648_img_.png,25,28.623861440174526,0.9473220837911298,,56.5664224053841
dataset2,uieb_648_img_.png,50,28.61425066612647,0.9497891332583265,,56.59365068246754
