dataset,filename,type,PSNR,SSIM,BRISQUE,NIQE,time
dataset2,uieb_596_img_.png,processed,28.190368309647443,0.8913452227029127,26.249221823499028,24.194443221124644,0.0009906291961669922
dataset2,uieb_597_img_.png,processed,28.032716382829058,0.862085612279892,28.10831107531496,14.559966320627233,0.000997781753540039
dataset2,uieb_606_img_.png,processed,28.175270689666224,0.980291974401993,26.108956280239425,25.067980032403007,0.0
dataset2,uieb_607_img_.png,processed,28.546942875843705,0.9613507013698157,34.99756628564623,32.85279272936715,0.0009853839874267578
dataset2,uieb_608_img_.png,processed,27.869433834392506,0.7558488717493935,36.41430545533942,40.80780807421489,0.0009942054748535156
dataset2,uieb_614_img_.png,processed,28.107561508504322,0.8948240654922726,21.58699314031648,26.527909149589,0.0
dataset2,uieb_618_img_.png,processed,27.850536277886036,0.8623901151692256,30.637094938867193,22.29680887152896,0.001001119613647461
dataset2,uieb_626_img_.png,processed,28.252073201223578,0.9175271331683857,15.9147151423401,19.104468572862785,0.0012240409851074219
dataset2,uieb_630_img_.png,processed,27.81125601180632,0.8240241854137823,25.69117467973203,17.93274460540941,0.002039670944213867
dataset2,uieb_631_img_.png,processed,27.871856093218895,0.8779174490455132,21.181361709128595,15.166449200630616,0.0
dataset2,uieb_648_img_.png,processed,28.244583717906792,0.8832205210101051,10.040724009417062,37.85850851755543,0.002985239028930664
dataset2,uieb_654_img_.png,processed,28.2065872281018,0.9196333672772272,38.31918579452096,28.05630342694898,0.0061419010162353516
dataset2,uieb_657_img_.png,processed,28.195048228817843,0.9000553285912856,18.8212948767775,19.036427592766877,0.009004592895507812
dataset2,uieb_674_img_.png,processed,28.052990352812955,0.9097414095575617,34.068738855949704,12.224722141963916,0.014438152313232422
dataset2,uieb_688_img_.png,processed,28.189830116059685,0.9272437208980064,26.99821476662939,15.531133147154478,0.016801834106445312
dataset2,uieb_699_img_.png,processed,27.881258777662474,0.8030809835710526,34.180382302353536,13.048342734207466,0.0039997100830078125
dataset2,uieb_711_img_.png,processed,28.205834504309255,0.9391462202028855,32.37056008225292,58.287087826594075,0.007169008255004883
dataset2,uieb_720_img_.png,processed,27.834832892859996,0.8744410626860621,36.06545815652564,19.23775385886419,0.01302194595336914
dataset2,uieb_754_img_.png,processed,27.774165789865826,0.8482098178900992,38.42401267012494,22.726768756395963,0.005180835723876953
dataset2,uieb_760_img_.png,processed,28.51339625469044,0.9428122325009782,14.999235364894702,4.126545772560604,0.003217935562133789
